RecordID_Int,ParcelNumber,StreetNumber,StreetName,Unit,StateCode,TaxType,Zone,TaxDist,Legal,Acreage,GPIN
1,010001000,1117,EMMET ST N,,4.0 Commercial & Industrial,Taxable,URB,,39.832 ACRES BARRACKS ROAD SHOPPING CENTER,39.83,1326
2,010001100,1035-67,MILLMONT ST,,4.0 Commercial & Industrial,Taxable,URB,,PARCEL W WEST BAR,2.14,15071
3,010001200,1159,MILLMONT ST,,4.0 Commercial & Industrial,Taxable,URB,,LOT C-1 WEST BAR,0.58,1280
4,010001300,1135-37,MILLMONT ST,,4.0 Commercial & Industrial,Taxable,URB,,LOT C-2B WEST BAR,0.4,1357
5,010001400,1111,MILLMONT ST,,4.0 Commercial & Industrial,Taxable,URB,,LOT B-1 WEST BAR,3.28,1366
6,010001500,1149,MILLMONT ST,,4.0 Commercial & Industrial,Taxable,URB,,LOT C-2A WEST BAR,0.92,1302
7,010001600,600,MASSIE RD,,7.6 Exempt Educational,Exempt,URB,,80 AC JAG SCHOOL,80.72,1056
8,010001700,1101,MILLMONT ST,,7.6 Exempt Educational,Exempt,URB,,PARCEL V WEST BAR,3.46,1418
10,010004000,1138,EMMET ST N,,4.0 Commercial & Industrial,Taxable,URB,,LOT M,2.5,1440
11,010004100,1170,EMMET ST N,,4.0 Commercial & Industrial,Taxable,URB,,PARCEL 3 & PAR X,1.19,1414
12,010004300,1134,EMMET ST N,,4.0 Commercial & Industrial,Taxable,URB,,LOT 2B,0.2,1482
13,010004400,1136-A,EMMET ST N,1,4.0 Commercial & Industrial,Taxable,URB,,UNIT 1 MEADOWBROOK CONDO,0.18,1465
14,010004500,1136-B,EMMET ST N,2,4.0 Commercial & Industrial,Taxable,URB,,UNIT 2 MEADOWBROOK CONDO,0.18,1465
15,010005000,0,BARRACKS RD,,1.0 Residential (Urban),Taxable,R-1U,,LOT 11 BK 10 RUGBY,0.83,1492
16,010006000,2028,BARRACKS RD,,1.0 Residential (Urban),Taxable,R-1U,,LOTS 9 & 10 BK 10 RUGBY,1.89,1511
17,010007000,1930,BARRACKS RD,,1.0 Residential (Urban),Taxable,R-1U,01,"LOTS 7,8 & STRIP BK 10 RUGBY",2.069,1557
18,010008000,0,BARRACKS RD,,1.0 Residential (Urban),Taxable,R-1U,,LOT 6 & PT 5 BK 10 RUGBY,1.369,1600
19,010009000,1920,BARRACKS RD,,1.0 Residential (Urban),Taxable,R-1U,,LOT 4 & PT LOT 5 BK 10 RUGBY,2.026,1623
20,010010000,1851,WESTVIEW RD,,1.0 Residential (Urban),Taxable,R-1U,,LOT 8 & PT 7 BK 11 RUGBY,0.93,1737
21,010011000,1855,WESTVIEW RD,,1.0 Residential (Urban),Taxable,R-1U,,PT LOTS 6 & 7 BK 11 RUGBY,1.019,1700
22,010012000,1857,WESTVIEW RD,,1.0 Residential (Urban),Taxable,R-1U,,PT LOTS 5 & 6 BK 11 RUGBY,0.861,1674
23,010014000,1885,WESTVIEW RD,,1.0 Residential (Urban),Taxable,R-1U,,LOT 4 BK 11 RUGBY,1.291,1640
24,010015000,1889,WESTVIEW RD,,1.0 Residential (Urban),Taxable,R-1U,,LOT 3 BK 11 RUGBY,0.944,1616
25,010016000,1891,WESTVIEW RD,,1.0 Residential (Urban),Taxable,R-1U,,LOT 2 BK 11 RUGBY,1,1584
26,010017000,1893,WESTVIEW RD,,3.0 Multi-Family,Taxable,R-1U,,LOT A BK 11 RUGBY,0.451,1605
27,010017100,1895,WESTVIEW RD,,3.0 Multi-Family,Taxable,R-1U,,LOT B BK 11 RUGBY,0.926,1547
28,010018000,1001,EMMET ST N,,7.6 Exempt Educational,Exempt,ES,,"PARCELS 1,2 &3",7.24,1494
29,010019000,1890,WESTVIEW RD,,1.0 Residential (Urban),Taxable,R-1U,,6537 SQ FT BK 9 RUGBY,0.15,1642
30,010020000,1888,WESTVIEW RD,,1.0 Residential (Urban),Taxable,R-1U,,"LOTS 10,11 &TRI LOT BK 9 RUGBY",0.51,1651
31,010021000,1884,WESTVIEW RD,,1.0 Residential (Urban),Taxable,R-1U,,LOT 12 BK 9 RUGBY,0.344,1683
32,010022000,1882,WESTVIEW RD,,1.0 Residential (Urban),Taxable,R-1U,,LOT 13 BK 9 RUGBY,0.346,1711
33,010023000,1880,WESTVIEW RD,,1.0 Residential (Urban),Taxable,R-1U,,LOT 14 BK 9 RUGBY,0.34,1740
34,010024000,1878,WESTVIEW RD,,1.0 Residential (Urban),Taxable,R-1U,,LOT 15A BK 9 RUGBY,0.275,1770
35,010024A00,1876,WESTVIEW RD,,1.0 Residential (Urban),Taxable,R-1U,,LOT 15B BK 9 RUGBY,0.241,15104
36,010026000,1852,WESTVIEW RD,,1.0 Residential (Urban),Taxable,R-1U,,LOT 17 & PT 16 & 18 BK 9 RUGBY,0.56,1809
37,010027000,1863,FIELD RD,,1.0 Residential (Urban),Taxable,R-1U,,LOT 3 BK 9 RUGBY,0.342,1850
38,010028000,1865,FIELD RD,,1.0 Residential (Urban),Taxable,R-1U,,LOT 4 BK 9 RUGBY,0.344,1823
39,010029000,1867,FIELD RD,,1.0 Residential (Urban),Taxable,R-1U,,LOT 5 & PT 6 BK 9 RUGBY,0.426,1790
40,010030000,1869,FIELD RD,,1.0 Residential (Urban),Taxable,R-1U,,PT LOTS 6 & 7 BK 9 RUGBY,0.327,1766
41,010030100,1871,FIELD RD,,1.0 Residential (Urban),Taxable,R-1U,,PT LOTS 7 & 8 BK 9 RUGBY,0.327,1736
42,010031000,1873,FIELD RD,,1.0 Residential (Urban),Taxable,R-1U,,PT LOTS 8 & 9 BK 9 RUGBY,0.379,1706
43,010032000,1877,FIELD RD,,1.0 Residential (Urban),Taxable,R-1U,01,LOT 9 & PARCEL X BK 9 RUGBY,0.516,1678
44,010033000,1884,FIELD RD,,3.0 Multi-Family,Taxable,R-1U,,PT LOT 18 BK 8 RUGBY,0.277,1708
45,010034000,1882,FIELD RD,,1.0 Residential (Urban),Taxable,R-1U,,LOT 17 & PT 18 BK 8 RUGBY,0.325,1730
46,010035000,1874,FIELD RD,,1.0 Residential (Urban),Taxable,R-1U,,LOT 16 BK 8 RUGBY,0.402,1754
47,010036000,1872,FIELD RD,,1.0 Residential (Urban),Taxable,R-1U,01,LOT 15 BK 8 RUGBY,0.402,1783
48,010037000,1870,FIELD RD,,1.0 Residential (Urban),Taxable,R-1U,,LOT 14 BK 8 RUGBY,0.402,1805
49,010038000,1868,FIELD RD,,1.0 Residential (Urban),Taxable,R-1U,,LOT 13 BK 8 RUGBY,0.402,1833
50,010039000,1866,FIELD RD,,1.0 Residential (Urban),Taxable,R-1U,,LOT 12 BK 8 RUGBY,0.402,1866
51,010040000,1864,FIELD RD,,1.0 Residential (Urban),Taxable,R-1U,,LOT 11 BK 8 RUGBY,0.402,1902
